benchmark,geth-evm,evmone-baseline,evmone-advanced
PUSH4_p1, 15.280999999999999, 6.012, 5.195
PUSH5_p0, 14.338, 5.952, 5.1770000000000005
PUSH5_p1, 14.142999999999999, 6.123, 5.056
PUSH6_p0, 14.652999999999999, 6.42, 5.361999999999999
PUSH6_p1, 14.978, 6.154, 5.3229999999999995
PUSH7_p0, 16.142, 6.5760000000000005, 5.442
PUSH7_p1, 16.119, 6.607, 5.287
PUSH8_p0, 15.386000000000001, 6.321000000000001, 5.734
PUSH8_p1, 14.907, 6.132000000000001, 5.261
PUSH9_p0, 16.521, 6.372, 5.224
PUSH9_p1, 15.202, 6.747999999999999, 5.144
RETURNDATASIZE_a0, 12.818, 6.044, 5.235
RETURNDATASIZE_a1, 12.547, 6.139, 5.6290000000000004
SAR_b0, 13.145999999999999, 7.17, 5.757
SAR_b1, 13.808000000000002, 7.178999999999999, 5.767
SGT_b0, 14.392999999999999, 6.292, 5.944
SGT_b1, 14.764, 5.989999999999999, 5.623
SHL_b0, 14.039, 7.887999999999999, 6.195
SHL_b1, 14.638, 7.066, 5.894
SHR_b0, 14.486, 7.966000000000001, 6.553
SHR_b1, 13.192, 7.182, 5.91
SIGNEXTEND_b0, 13.699, 6.741, 5.343
SIGNEXTEND_b1, 13.381, 6.732, 5.303999999999999
SLT_b0, 16.025000000000002, 7.737, 6.182
SLT_b1, 14.925, 6.955, 5.791
SUB_b0, 13.037999999999998, 5.984999999999999, 5.747000000000001
SUB_b1, 12.841999999999999, 6.002000000000001, 5.734999999999999
SWAP10_s0, 12.606, 5.91, 5.737
SWAP11_s0, 12.603, 5.78, 5.757
SWAP12_s0, 12.632000000000001, 5.801, 5.803
SWAP13_s0, 12.789, 5.827999999999999, 5.77
SWAP14_s0, 12.82, 5.962000000000001, 5.77
SWAP15_s0, 12.678999999999998, 5.947, 5.774
SWAP16_s0, 12.812000000000001, 5.992, 5.7749999999999995
SWAP1_s0, 12.824, 6.311, 5.592
